edad;2017(Mujer);2017(Hombre);2017;2018(Mujer);2018(Hombre);2018;2019(Mujer);2019(Hombre);2019;2020(Mujer);2020(Hombre);2020
Menor 25      ;6;0;6;5;1;6;2;1;3;0;2;2
25-29       ;20;15;35;22;18;40;25;24;49;22;22;44
30-34       ;114;86;200;111;95;206;106;81;187;116;88;204
25-39       ;212;174;386;217;166;383;215;190;405;193;185;378
40-44       ;274;265;539;297;284;581;318;282;600;317;279;596
45-49       ;329;374;703;301;332;633;321;294;615;313;302;615
50-54       ;341;447;788;376;475;851;388;488;876;394;457;851
55-59       ;300;427;727;310;432;742;328;436;764;342;451;793
60-64       ;183;404;587;211;405;616;227;411;638;243;394;637
Mayor 65        ;54;210;264;62;240;302;81;273;354;86;280;366
