Tipus de personal investigador;Investigador de convocatòries públiques competitives d'àmbit universitari, local, autonòmic, estatal o internacional;Investigador de convocatòries públiques competitives d'àmbit universitari, local, autonòmic, estatal o internacional;Investigador de convocatòries públiques competitives d'àmbit universitari, local, autonòmic, estatal o internacional;Investigador amb càrrec a projectes de investigació, Art. 83 i a grups d'investigació;Investigador amb càrrec a projectes de investigació, Art. 83 i a grups d'investigació;Investigador amb càrrec a projectes de investigació, Art. 83 i a grups d'investigació;Personal técnico de soporte a la investigación;Personal técnico de soporte a la investigación;Personal técnico de soporte a la investigación;otros;otros;otros;Total
Rang d'edat;Mujer;Hombre;Total;Mujer;Hombre;Total;Mujer;Hombre;Total;Mujer;Hombre;Total;
Menor de 25 años      ;75;88;163;21;26;47;9;11;20;0;0;0;230
25-29 años     ;152;131;283;34;24;58;29;32;61;0;0;0;402
30-34 años     ;65;73;138;17;15;32;24;20;44;0;0;0;214
25-39 años     ;36;56;92;12;17;29;30;18;48;0;0;0;169
40-44 años     ;21;30;51;4;11;15;35;41;76;0;0;0;142
45-49 años     ;21;13;34;2;5;7;25;24;49;2;1;3;93
50-54 años     ;2;4;6;2;3;5;16;10;26;0;1;1;38
55-59 años     ;4;0;4;0;1;1;5;3;8;0;0;0;13
60-64 años     ;2;1;3;0;0;0;3;2;5;0;0;0;8
Mayor de 65 años      ;0;1;1;0;0;0;0;1;1;0;0;0;2
Total;378;397;775;92;102;194;176;162;338;2;2;4;1.311
