Edad;2017(Mujer);2017(Hombre);2017;2018(Mujer);2018(Hombre);2018;2019(Mujer);2019(Hombre);2019;2020(Mujer);2020(Hombre);2020
18;9;8;17;5;11;16;7;3;10;6;6;12
19;3473;1842;5315;3683;1857;5540;3534;1887;5421;3825;1992;5817
20;3647;2035;5682;3854;2096;5950;4093;2102;6195;3878;2088;5966
21;4149;2175;6324;4133;2276;6409;4384;2262;6646;4432;2210;6642
22;4302;2301;6603;4400;2283;6683;4408;2343;6751;4308;2282;6590
23;2940;1799;4739;3012;1727;4739;3021;1736;4757;2746;1664;4410
24;1815;1142;2957;1861;1244;3105;1807;1145;2952;1637;1006;2643
25;1058;817;1875;1064;753;1817;1038;720;1758;878;680;1558
26;716;572;1288;661;574;1235;663;512;1175;562;454;1016
27;509;450;959;445;386;831;409;374;783;391;305;696
28;356;341;697;331;311;642;298;272;570;262;241;503
29;293;252;545;241;233;474;226;221;447;195;198;393
30-34       ;682;574;1256;670;524;1194;594;500;1094;536;481;1017
35-39       ;288;266;554;292;262;554;261;248;509;291;206;497
40-44       ;207;190;397;224;166;390;215;154;369;177;149;326
45-49       ;161;112;273;142;121;263;133;111;244;140;110;250
50-54       ;124;80;204;112;88;200;98;72;170;98;65;163
54;101;114;215;105;136;241;117;140;257;112;113;225
