trabajo;a2017;2018;2019;2020
A l'atur;0;1715;1502;1520
Altra situació;2;4935;4726;4517
Directors/es o Gerents/as d´Empreses de l´Administració Pública ;4605;15;0;1
Empleats/des Administratius/ves i Treballadors/es dels Serveis ;12136;10;1;1
Incapacitació laboral;0;709;715;728
Jubilació;0;2983;2696;2457
No consta;2;5479;5442;4525
No informat;258;508;399;232
Ocupacions domèstiques no retribuïdes;0;98;91;92
Ocupacions militars;0;527;507;479
Persones que no han tingut un treball remunerat;5677;13;1;3
Professionals de les Forces Armades;621;0;0;0
Tècnics/ques o Professionals Associats/des a Titulacions Universitàries o No Universitàries de Caràcter Postsecundari;2468;4;0;0
Treballadors/es No Qualificats/des;8292;23;0;1
Treballadors/es Qualificats/des en Agricultura i Pesca;2212;3;1;1
Treballadors/es Qualificats/des i Operaris/es de Màquines a la Industria;3625;4;1;0
Treballs artesans i qualificats d'indústries manufactureres,  construcció i mineria,  excepte d'operadors d'instal·lacions i maquinària,  construcció i mineria,  excepte d'operadors d'instal·lacions i maquinària;0;2095;2210;2375
Treballs comptables i administratius;0;3359;3475;3326
Treballs d'operació d'instal·lacions i maquinari i de muntatge;0;2273;2480;2607
Treballs de direcció i gerència;1;3468;3690;3655
Treballs en serveis de restauració,  personals,  protecció  i comerç;0;2898;2938;3021
Treballs no qualificats;1;2652;2322;2150
Treballs qualificats en agricultura i pesca;0;1100;1026;1052
Treballs tècnics i professionals de suport;0;2114;2381;2469
Treballs tècnics i professionals en camps científics i Intel·lectuals;0;3298;3504;3512
